#char font-size number-chars width
0 30 26 392
0 35 24 420
0 40 24 480
1 9 14 60
1 12 16 90
1 20 26 242
1 25 26 300
1 30 26 360
1 35 26 420
1 40 26 480
2 9 20 93
2 12 25 152
2 20 24 240
2 25 24 300
2 30 26 390
2 35 24 420
2 40 24 478
3 9 20 94
3 12 25 152
3 20 24 240
3 25 24 300
3 30 26 388
3 35 19 334
3 40 24 475
4 9 20 94
4 12 25 153
4 20 24 240
4 25 24 300
4 30 24 360
4 35 24 420
4 40 24 480
5 9 20 93
5 12 25 152
5 20 24 240
5 25 24 300
5 30 26 390
5 35 19 334
5 40 24 475
6 9 13 60
6 12 25 152
6 20 24 242
6 25 24 303
6 30 26 392
6 35 24 420
6 40 24 480
7 9 20 94
7 12 25 154
7 20 24 240
7 25 24 301
7 30 26 390
7 35 24 420
7 40 24 480
8 9 20 94
8 12 25 152
8 20 24 240
8 25 24 300
8 30 26 390
8 35 24 420
8 40 24 480
9 9 20 93
9 12 25 150
9 20 24 241
9 25 24 300
9 30 26 391
9 35 24 420
9 40 24 480
open-paren 9 20 66
open-paren 12 15 66
open-paren 20 18 125
open-paren 25 25 210
open-paren 30 24 242
open-paren 35 23 269
open-paren 40 18 243
close-paren 9 20 64
close-paren 12 15 64
close-paren 20 18 122
close-paren 25 18 152
close-paren 30 24 240
close-paren 35 18 210
close-paren 40 18 238

